2025-12-10 15:16:05 | INFO     | root:setup_logging:76 | Logging configured: level=INFO, file=logs\pyshield.log
2025-12-10 15:16:05 | INFO     | test:<module>:1 | Logging test successful
2025-12-10 15:23:20 | INFO     | root:setup_logging:76 | Logging configured: level=INFO, file=logs\pyshield.log
2025-12-10 15:23:20 | ERROR    | app.utils.errors:sanitize_error_message:38 | Error details (hidden from user): Internal path: /etc/passwd/secrets
NoneType: None
2025-12-10 15:25:22 | INFO     | root:setup_logging:76 | Logging configured: level=INFO, file=logs\pyshield.log
2025-12-10 15:25:22 | INFO     | root:setup_logging:76 | Logging configured: level=INFO, file=logs\pyshield.log
2025-12-10 15:25:23 | INFO     | app.api.routes:start_audit:76 | Created audit 81c998e8-77fc-4bcc-8c62-44dae1f00fde for requests@latest
2025-12-10 15:25:23 | INFO     | app.api.routes:run_audit:102 | Started processing audit 81c998e8-77fc-4bcc-8c62-44dae1f00fde
2025-12-10 15:25:23 | INFO     | app.services.orchestrator:run_audit:106 | Starting audit a0501777-2a8f-46f4-87d4-19f90d735847 for package: requests@latest
2025-12-10 15:25:23 | INFO     | app.services.orchestrator:run_audit:117 | Analyzing requests@2.32.5
2025-12-10 15:25:23 | INFO     | app.services.orchestrator:run_audit:126 | Package extracted to: \tmp\pyshield\requests-2.32.5\requests-2.32.5
2025-12-10 15:25:24 | INFO     | app.analyzers.vulnerability:_query_osv:88 | OSV API returned 0 vulnerabilities for requests@2.32.5
2025-12-10 15:25:30 | INFO     | app.services.orchestrator:run_audit:256 | Audit a0501777-2a8f-46f4-87d4-19f90d735847 completed for requests@2.32.5: score=52.59, risk=medium, duration=7736ms
2025-12-10 15:25:30 | INFO     | app.api.routes:run_audit:135 | Completed audit 81c998e8-77fc-4bcc-8c62-44dae1f00fde: score=52.59, risk=medium
2025-12-10 15:25:30 | INFO     | app.api.routes:start_audit:76 | Created audit 6bceefea-0cf2-4369-86c2-6e04d7b1a79f for flask@2.0.0
2025-12-10 15:25:30 | INFO     | app.api.routes:run_audit:102 | Started processing audit 6bceefea-0cf2-4369-86c2-6e04d7b1a79f
2025-12-10 15:25:30 | INFO     | app.services.orchestrator:run_audit:106 | Starting audit bf6c1fe9-9ce6-4b36-9060-d868f2a52dac for package: flask@2.0.0
2025-12-10 15:25:31 | INFO     | app.services.orchestrator:run_audit:117 | Analyzing flask@2.0.0
2025-12-10 15:25:31 | INFO     | app.services.orchestrator:run_audit:126 | Package extracted to: \tmp\pyshield\flask-2.0.0\Flask-2.0.0
2025-12-10 15:25:32 | INFO     | app.analyzers.vulnerability:_query_osv:88 | OSV API returned 2 vulnerabilities for flask@2.0.0
2025-12-10 15:25:38 | INFO     | app.services.orchestrator:run_audit:256 | Audit bf6c1fe9-9ce6-4b36-9060-d868f2a52dac completed for flask@2.0.0: score=51.92, risk=medium, duration=7715ms
2025-12-10 15:25:38 | INFO     | app.api.routes:run_audit:135 | Completed audit 6bceefea-0cf2-4369-86c2-6e04d7b1a79f: score=51.92, risk=medium
2025-12-10 15:25:38 | WARNING  | app.api.routes:start_audit:60 | Invalid audit request: Package name cannot be empty
